cand_id,name,age,party_id,spl_attribute_id
cand1,"KISHORE CHANDRA DEO",72,TDP,1
cand2,"Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY",54,BJP,2
cand3,"GODDETI. MADHAVI",26,YSRCP,3
cand4,"SHRUTI DEVI VYRICHERLA",46,INC,4
cand5,"GANGULAIAH VAMPURU.",49,JNP,5
cand6,"SWAMULA. SUBRAHMANYAM",50,JAJGP,6
cand7,"ANUMULA VAMSIKRISHNA",41,IND,7
cand8,"KANGALA BALUDORA",61,IND,8
cand9,"NARAVA SATYAVATHI",37,IND,9
cand10,"BIDDIKA RAMAYYA.",57,IND,10
cand11,"KINJARAPU RAM MOHAN NAIDU",32,TDP,11
cand12,"DOLA JAGAN",53,INC,12
cand13,"DUVVADA SRINIVAS",52,YSRCP,13
cand14,"PERLA SAMBA MURTHY",58,BJP,14
cand15,"MATTA SATISH CHAKRAVARTHY",37,PPOI,15
cand16,"METTA RAMARAO",53,JNP,16
cand17,"NAMBALLA KRISHNA MOHAN",44,IND,17
cand18,"NAIDUGARI RAJASEKHAR",35,IND,18
cand19,"BETHA VIVEKANANDA MAHARAJ",33,IND,19
cand20,"Ashok Gajapathi Raju Pusapati",67,TDP,20
cand21,"Adiraju Yedla",52,INC,21
cand22,"Bellana Chandra Sekhar",57,YSRCP,22
cand23,"Sanyasi Raju Pakalapati",60,BJP,23
cand24,"P.V.A. Ananda Sagar",55,SAPRP,24
cand25,"Chiranjeevi Lingala",28,ACP,25
cand26,"Mukka Srinivas Rao",39,JNP,26
cand27,"Lagudu. Govinda Rao",39,JAJGP,27
cand28,"Surya Bhavani. K",38,PPOI,28
cand29,"Yella Rao Siyyadula",37,IND,29
cand30,"Dhanalakoti Ramana",29,IND,30
cand31,"Pentapati Rajesh",39,IND,31
cand32,"Ijjurouthu Ramunaidu",47,IND,32
cand33,"Venkata Trindha Rao Veluri",52,IND,33
cand34,"DAGGUBATI PURANDESWARI",58,BJP,34
cand35,"PEDADA. RAMANIKUMARI",48,INC,35
cand36,"BHARAT MATHUKUMILLI",29,TDP,36
cand37,"M V V SATYANARAYANA",52,YSRCP,37
cand38,"GEORGE BANGARI",46,VCK,38
cand39,"B. JAYA VENU GOPAL",30,PPOI,39
cand40,"V.V. LAKSHMI NARAYANA",53,JNP,40
cand41,"ANMISH VARMA",26,IND,41
cand42,"R. UDAYA GOWRI",44,IND,42
cand43,"KOTHAPALLI GEETHA",48,IND,43
cand44,"GAMPALA SOMASUNDARAM",76,IND,44
cand45,"GANNU MALLAYYA",70,IND,45
cand46,"DURGAPRASAD. GUNTU",51,IND,46
cand47,"PULAPAKA RAJA SEKHAR",40,IND,47
cand48,"ADARI ANAND KUMAR",43,TDP,48
cand49,"Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram)",65,BJP,49
cand50,"Dr.Beesetti Venkata Satyavathi",52,YSRCP,50
cand51,"Ruthala Srirama Murthy",49,INC,51
cand52,"P.S.AJAY KUMAR",57,CPI(ML)(L),52
cand53,"K B SWAROOP",51,JAJGP,53
cand54,"Chintala Partha Sarathi",56,JNP,54
cand55,"Taadi Veera Jagadeeshwari",65,PPOI,55
cand56,"Vadlamuri Krishna Swaroop",46,DABAP,56
cand57,"Appala Naidu Tummagunta",37,IND,57
cand58,"CHALAMALASETTY SUNIL",49,TDP,58
cand59,"MALLIPUDI SRI RAMACHANDRA MURTHY (RAMBABU)",66,INC,59
cand60,"YALLA VENKATA RAMA MOHAN RAO (DORABABU)",46,BJP,60
cand61,"VANGA GEETHAVISWANATH",55,YSRCP,61
cand62,"APPALAKONDA VANGALAPUDI",28,MPP,62
cand63,"B. GEETHA",34,PRSHP,63
cand64,"GODUGU SATYANARAYANA",40,CPI(ML)(L),64
cand65,"JYOTHULA VENKATESWARA RAO",62,JNP,65
cand66,"DONAM NEELAKANTAM",49,AINPP,66
cand67,"PEDDIMSETTI. VENKATESWARARAO",46,JAJGP,67
cand68,"VASAMSETTY VENKATARAMANA",56,AIFB,68
cand69,"SATHI VEERALAKSHMI",38,PPOI,69
cand70,"ANKADI SATHIBABU",45,IND,70
cand71,"KAKILETI RAVINDRA",41,IND,71
cand72,"MEDISETTI VIJAYA KUMAR",53,IND,72
cand73,"AYYAJI VEMA MANEPALLI",58,BJP,73
cand74,"GANTI HARISH MADHUR (BALAYOGI)",28,TDP,74
cand75,"CHINTA ANURADHA",46,YSRCP,75
cand76,"JANGA GOUTHAM",49,INC,76
cand77,"CHELLE RAJANI",30,JAJGP,77
cand78,"PANTHAGADA VIJAYA CHAKRAVARTHY",65,RPI(KH),78
cand79,"MURALIKRISHNA KANDERI",41,IPBP,79
cand80,"MORTHA SIVA RAMA KRISHNA",29,PPOI,80
cand81,"D M R SEKHAR",59,JNP,81
cand82,"REVU SUDHAKAR",34,IND,82
cand83,"NALLURI VIJAYA SRINIVASA RAO",55,INC,83
cand84,"PARAVASTU SATYA GOPINATH DAS",47,BJP,84
