name,party_name,status,state,constituency
SUBHAGI, Janhit Sankalp Party, Accepted, Uttar Pradesh,Robertsganj
HOSEN GAZI, Independent, Accepted, West Bengal, Jadavpur
JANGIR SINGH, Loktantrik Lok Rajyam Party, Rejected, Punjab, Ludhiana
RAJA RAM SINGH, Independent, Accepted, Bihar, Karakat
VINAY KUMAR TRIPATHI, Log Party, Rejected, Uttar Pradesh, Varanasi
MD MANSOOR ANSARI, All India Majlis-E-Ittehadul Muslimeen, Applied, Jharkhand, Godda
PRIYASH, Independent, Applied, Uttar Pradesh, Kushi Nagar
LAKHVIR SINGH, Independent, Accepted, Chandigarh, Chandigarh
MD MANSOOR ANSARI, All India Majlis-E-Ittehadul Muslimeen, Applied, Jharkhand, Godda
PREM SINGH CHANDUMAJRA, Shiromani Akali Dal, Accepted, Punjab, Anandpur Sahib
LAL BIHARI, Independent, Rejected, Uttar Pradesh, Maharajganj
NANDLAL, Independent, Rejected, Uttar Pradesh, Robertsganj
CHANDRIKA DAS, Independent, Rejected, Bihar, Patliputra
PRATAP CHANDRA MOHANTY, Independent, Accepted, Odisha, Kendrapara
AVADHESH PASWAN, Bharatiya Aam Awam Party, Accepted, Bihar, Karakat
KALIMUDDIN SK, Indian National Socialistic Action Forces, Accepted, West Bengal, Diamond harbour
MUNNI HANSDA, Samata Party, Applied, Jharkhand, Dumka
GURCHARAN SINGH, Independent, Rejected, Punjab, Sangrur
MARIYAM MARANDI, Bahujan Samaj Party, Accepted, Jharkhand, Rajmahal
RAJKUMAR, Bhagidari Party(P), Applied, Uttar Pradesh, Mirzapur
VIRENDRA KUMAR SINGH, Independent, Accepted, Bihar, Arrah
MARIYAM MARANDI, Bahujan Samaj Party, Accepted, Jharkhand, Rajmahal
JAGDISH, Independent, Rejected, Uttar Pradesh, Mirzapur
BALDEV SINGH, Independent, Accepted, Punjab, Ludhiana
LATA DEVI, Bharatiya Janata Party, Rejected, Punjab, Fatehgarh Sahib
PARVEZ KADIR KHAN, Peace Party, Rejected, Uttar Pradesh, Varanasi
PIARA SINGH, Aam Aadmi Party, Rejected, Punjab, Faridkot
KULDEEP SINGH, India Praja Bandhu Party, Accepted, Punjab, Firozpur
RAMESH CHAND, Samajwadi Party, Accepted, Uttar Pradesh, Mirzapur
SANJEEV SINGH, Independent, Accepted, Punjab, Gurdaspur
SANJAY PRASAD, Independent, Rejected, Bihar, Jahanabad
ARVIND KHANNA, Bharatiya Janata Party, Accepted, Punjab, Sangrur
SONU SINGH, Independent, Accepted, Punjab, Hoshiarpur
BIKRAMJIT SINGH, Shiromani Akali Dal, Accepted, Punjab, Fatehgarh Sahib
RAMESH CHAND, Samajwadi Party, Accepted, Uttar Pradesh, Mirzapur
SANJEEV SINGH, Independent, Accepted, Punjab, Gurdaspur
ARJUNA CHARAN BEHERA, Independent, Accepted, Odisha, Jagatsinghpur
SHIVPUJAN, Rashtriya Samaj Paksha, Accepted, Uttar Pradesh, Robertsganj
SURENDRA NARAYAN SINGH, Bharatiya Janata Party, Rejected, Uttar Pradesh, Varanasi
SANTOSH JAYGOVIND SINGH, Nagrik Vikas Party, Rejected, Uttar Pradesh, Ghosi
AVISEK ANAND JHA, Independent, Applied, Jharkhand, Godda
PULAKESH MONDAL, Independent, Accepted, West Bengal, Diamond harbour
KULDEEP SINGH, India Praja Bandhu Party, Accepted, Punjab, Firozpur
AVISEK ANAND JHA, Independent, Applied, Jharkhand, Godda
SANJEEV SINGH, Independent, Accepted, Punjab, Gurdaspur
MISBAHUS SALAM, Independent, Accepted, West Bengal, Kolkata Uttar
AVISEK ANAND JHA, Independent, Applied, Jharkhand, Godda
SANJEEV SINGH, Independent, Accepted, Punjab, Gurdaspur
GEJJA RAM, Bharatiya Janata Party, Accepted, Punjab, Fatehgarh Sahib
AVISEK ANAND JHA, Independent, Applied, Jharkhand, Godda
KHIYALI KUNWAR, Independent, Rejected, Bihar, Arrah
SANTOSH JAYGOVIND SINGH, Nagrik Vikas Party, Rejected, Uttar Pradesh, Ghosi
AKHIL KUMAR MOHANTA, Independent, Applied, Odisha, Balasore
ASHOK TIWARI, Independent, Accepted, Bihar, Arrah
CHANDRA MOHAN PRASAD RAY, Independent, Rejected, Bihar, Patna Sahib
RAJESH, Independent, Accepted, Uttar Pradesh, Mirzapur
RAJIV KUMAR, Jan Sewa Driver Party, Rejected, Punjab, Ludhiana
RABINDRANATH BEHERA, Samajwadi Party, Rejected, Odisha, Kendrapara
GURU  CHARAN HEMBRAM, Bharatheeya Jawan Kisan Party, Accepted, Odisha, Mayurbhanj
MANPREET SHANT, Independent, Accepted, Punjab, Faridkot
RAJENDRA PASWAN, Rashtrawadi Janlok Party (Satya), Rejected, Bihar, Sasaram
RAM LAKHAN, Independent, Rejected, Uttar Pradesh, Robertsganj
RAJU, All India Forward Bloc, Applied, Uttar Pradesh, Kushi Nagar
BIPUL CHANDRA BISWAS, Mulnibasi Party of India, Accepted, West Bengal, Basirhat
TUSHA MITTAL, Independent, Rejected, Uttar Pradesh, Varanasi
MD FAROOQUE RAZA, All India Majlis-E-Ittehadul Muslimeen, Accepted, Bihar, Patliputra
BIBHU PRASAD TARAI, Bharatiya Janata Party, Accepted, Odisha, Jagatsinghpur
LEKHASRI SAMANTSINGHAR, Biju Janata Dal, Applied, Odisha, Balasore
LIPI KUMARI, Independent, Accepted, Bihar, Jahanabad
LEKHASRI SAMANTSINGHAR, Biju Janata Dal, Applied, Odisha, Balasore
PARAMJIT SINGH, Independent, Accepted, Punjab, Khadoor Sahib
ARVINDER KAUR, Shiromani Akali Dal, Rejected, Punjab, Fatehgarh Sahib
NABA CHARAN MAJHI, Bharatiya Janata Party, Applied, Odisha, Mayurbhanj
