const_id,cand_id,votes
2818,cand1,338101
2818,cand2,17867
2818,cand3,562190
2818,cand4,17730
2818,cand5,42794
2818,cand6,4710
2818,cand7,10240
2818,cand8,13826
2818,cand9,11236
2818,cand10,7867
2819,cand11,534544
2819,cand12,13745
2819,cand13,527891
2819,cand14,8390
2819,cand15,1448
2819,cand16,31956
2819,cand17,4836
2819,cand18,5156
2819,cand19,3818
2820,cand20,530382
2820,cand21,15725
2820,cand22,578418
2820,cand23,7266
2820,cand24,4983
2820,cand25,1263
2820,cand26,34192
2820,cand27,791
2820,cand28,830
2820,cand29,1010
2820,cand30,1176
2820,cand31,1462
2820,cand32,4553
2820,cand33,6338
2821,cand34,33892
2821,cand35,14633
2821,cand36,432492
2821,cand37,436906
2821,cand38,3028
2821,cand39,1627
2821,cand40,288874
2821,cand41,1915
2821,cand42,1384
2821,cand43,1158
2821,cand44,1128
2821,cand45,1313
2821,cand46,2464
2821,cand47,2294
2822,cand48,497034
2822,cand49,13276
2822,cand50,586226
2822,cand51,10121
2822,cand52,2716
2822,cand53,1621
2822,cand54,82588
2822,cand55,1803
2822,cand56,4444
2822,cand57,3765
2823,cand58,511892
2823,cand59,8640
2823,cand60,9596
2823,cand61,537630
2823,cand62,2997
2823,cand63,1688
2823,cand64,1724
2823,cand65,132648
2823,cand66,980
2823,cand67,815
2823,cand68,1014
2823,cand69,1119
2823,cand70,1381
2823,cand71,3327
2823,cand72,2051
2824,cand73,11534
2824,cand74,446163
2824,cand75,485958
2824,cand76,7887
2824,cand77,1231
2824,cand78,1804
2824,cand79,1804
2824,cand80,1954
2824,cand81,255317
2824,cand82,2775
2825,cand83,12725
2825,cand84,12334
2825,cand85,460390
2825,cand86,582024
2825,cand87,155807
2825,cand88,1757
2825,cand89,1035
2825,cand90,996
2825,cand91,1161
2825,cand92,1242
2825,cand93,2869
2826,cand94,13941
2826,cand95,449234
2826,cand96,12414
2826,cand97,416558
2826,cand98,4286
2826,cand99,869
2826,cand100,583
2826,cand101,3471
2826,cand102,1603
