state,const_id,const_name,cand_id,cand_name,party_id,votes
"Andaman and Nicobar Islands",3501,"andaman and nicobar islands",cand7786,"kuldeep rai sharma",INC,95308
"Andaman and Nicobar Islands",3501,"andaman and nicobar islands",cand7788,"vishal jolly",BJP,93901
"Andaman and Nicobar Islands",3501,"andaman and nicobar islands",cand7794,"paritosh kumar haldar",IND,5341
"Andaman and Nicobar Islands",3501,"andaman and nicobar islands",cand7789,"sanjay meshack",AAAP,2839
"Andaman and Nicobar Islands",3501,"andaman and nicobar islands",cand7787,"prakash minj",BSP,2486
"Andaman and Nicobar Islands",3501,"andaman and nicobar islands",cand7785,"ayan mandal",AITC,1721
"Andaman and Nicobar Islands",3501,"andaman and nicobar islands",cand7799,henry,IND,994
"Andaman and Nicobar Islands",3501,"andaman and nicobar islands",cand7797,"k venkat ram babu",IND,914
"Andaman and Nicobar Islands",3501,"andaman and nicobar islands",cand7795,"minati biswas",IND,618
"Andaman and Nicobar Islands",3501,"andaman and nicobar islands",cand7798,"s sudershan rao",IND,475
"Andaman and Nicobar Islands",3501,"andaman and nicobar islands",cand7792,"v v khalid",IND,306
"Andaman and Nicobar Islands",3501,"andaman and nicobar islands",cand7791,"k kalimuthu",IND,275
"Andaman and Nicobar Islands",3501,"andaman and nicobar islands",cand7796,"c u rasheed",IND,273
"Andaman and Nicobar Islands",3501,"andaman and nicobar islands",cand7793,"gour chandra majumder",IND,221
"Andaman and Nicobar Islands",3501,"andaman and nicobar islands",cand7790,"c g saji kumar",AINHCP,212
"Andhra Pradesh",2824,amalapuram,cand75,"chinta anuradha",YSRCP,485958
"Andhra Pradesh",2824,amalapuram,cand74,"ganti harish madhur (balayogi)",TDP,446163
"Andhra Pradesh",2824,amalapuram,cand81,"d m r sekhar",JNP,255317
"Andhra Pradesh",2824,amalapuram,cand73,"ayyaji vema manepalli",BJP,11534
"Andhra Pradesh",2824,amalapuram,cand76,"janga goutham",INC,7887
"Andhra Pradesh",2824,amalapuram,cand82,"revu sudhakar",IND,2775
"Andhra Pradesh",2824,amalapuram,cand80,"mortha siva rama krishna",PPOI,1954
"Andhra Pradesh",2824,amalapuram,cand79,"muralikrishna kanderi",IPBP,1804
"Andhra Pradesh",2824,amalapuram,cand78,"panthagada vijaya chakravarthy",RPI(KH),1804
"Andhra Pradesh",2824,amalapuram,cand77,"chelle rajani",JAJGP,1231
"Andhra Pradesh",2822,anakapalli,cand50,"dr.beesetti venkata satyavathi",YSRCP,586226
