const_id,name,state,reserve_status
3501,Andaman and Nicobar Islands,Andaman and Nicobar Islands,ST
2818,Araku,Andhra Pradesh,GEN
2819,Srikakulam,Andhra Pradesh,GEN
2820,Vizianagaram,Andhra Pradesh,GEN
2821,Visakhapatnam,Andhra Pradesh,GEN
2822,Anakapalli,Andhra Pradesh,GEN
2823,Kakinada,Andhra Pradesh,SC
2824,Amalapuram,Andhra Pradesh,GEN
2825,Rajahmundry,Andhra Pradesh,GEN
2826,Narsapuram,Andhra Pradesh,GEN
2827,Eluru,Andhra Pradesh,GEN
2828,Machilipatnam,Andhra Pradesh,GEN
2829,Vijayawada,Andhra Pradesh,GEN
2830,Guntur,Andhra Pradesh,GEN
2831,Narasaraopet,Andhra Pradesh,SC
2832,Bapatla,Andhra Pradesh,GEN
2833,Ongole,Andhra Pradesh,GEN
2834,Nandyal,Andhra Pradesh,GEN
2835,Kurnool,Andhra Pradesh,GEN
2836,Anantapur,Andhra Pradesh,GEN
2837,Hindupur,Andhra Pradesh,GEN
2838,Kadapa,Andhra Pradesh,GEN
2839,Nellore,Andhra Pradesh,SC
2840,Tirupati,Andhra Pradesh,GEN
2841,Rajampet,Andhra Pradesh,SC
2842,Chittoor,Andhra Pradesh,ST
1201,ARUNACHAL WEST,Arunachal Pradesh,ST
1202,ARUNACHAL EAST,Arunachal Pradesh,SC
1801,Karimganj,Assam,GEN
1802,Silchar,Assam,ST
1803,Diphu,Assam,GEN
1804,Dhubri,Assam,ST
1805,Kokrajhar,Assam,GEN
1806,Barpeta,Assam,GEN
1807,Gauhati,Assam,GEN
1808,Darrang - Udalguri,Assam,GEN
1809,Sonitpur,Assam,GEN
1810,Nowgong,Assam,GEN
1811,Kaziranga,Assam,GEN
1812,Jorhat,Assam,GEN
1813,Dibrugarh,Assam,GEN
1814,Lakhimpur,Assam,GEN
1001,Valmiki Nagar,Bihar,GEN
1002,Paschim Champaran,Bihar,GEN
1003,Purvi Champaran,Bihar,GEN
1004,Sheohar,Bihar,GEN
1005,Sitamarhi,Bihar,GEN
1006,Madhubani,Bihar,GEN
1007,Jhanjharpur,Bihar,SC
1008,Supaul,Bihar,GEN
