cand_id,cand_name,party_name,state,const_name,BF,Popular,Photo,2019 Winner
cand9049,BISHNU PADA RAY,Bharatiya Janata Party,Andaman and Nicobar Islands,Andaman and Nicobar Islands,BFAndaman,Popular,Photo Required,#N/A
cand7973,KULDEEP RAI SHARMA,Indian National Congress,Andaman and Nicobar Islands,Andaman and Nicobar Islands,BFAndaman,Popular,Photo Required,#N/A
cand8736,K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,Andaman and Nicobar Islands,Andaman and Nicobar Islands,,,,#N/A
cand8699,MANOJ PAUL,Andaman Nicobar Democratic Congress,Andaman and Nicobar Islands,Andaman and Nicobar Islands,,,,#N/A
cand8618,DR ARUN KUMAR MALLIK,Bahujan Samaj Party,Andaman and Nicobar Islands,Andaman and Nicobar Islands,,,,#N/A
cand8626,D AYYAPPAN,Communist Party of India  (Marxist),Andaman and Nicobar Islands,Andaman and Nicobar Islands,,Popular,Photo Required,#N/A
cand7867,ANAND RAMNATH ARLEKAR,Independent,Andaman and Nicobar Islands,Andaman and Nicobar Islands,,,,#N/A
cand7822,K VENKAT RAM BABU,Independent,Andaman and Nicobar Islands,Andaman and Nicobar Islands,,,,#N/A
cand8064,RINKU MALA MONDAL,Independent,Andaman and Nicobar Islands,Andaman and Nicobar Islands,,,,#N/A
cand8191,USHA KUMARI,Independent,Andaman and Nicobar Islands,Andaman and Nicobar Islands,,,,#N/A
cand8248,V.K. ABDUL AZIZ,Independent,Andaman and Nicobar Islands,Andaman and Nicobar Islands,,,,#N/A
cand7631,SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),Andaman and Nicobar Islands,Andaman and Nicobar Islands,,,,#N/A
cand3220,KESINENI SIVANATH (CHINNI),Telugu Desam,Andhra Pradesh,Vijayawada,BFAP1,,Photo Required,KESINENI SRINIVAS (NANI) - TDP
cand3958,KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Vijayawada,BFAP1,,Photo Required,KESINENI SRINIVAS (NANI) - TDP
cand4344,Y.S. SHARMILA REDDY,Indian National Congress,Andhra Pradesh,Kadapa,BFAP2,Popular,Photo Required,YEDUGURI SANDINTI AVINASH REDDY - YSRCP
cand4150,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Kadapa,BFAP2,,Photo Required,YEDUGURI SANDINTI AVINASH REDDY - YSRCP
cand3231,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,Andhra Pradesh,Guntur,BFAP3,,Photo Required,JAYADEV GALLA - TDP
cand2967,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Guntur,BFAP3,,Photo Required,JAYADEV GALLA - TDP
cand4163,DORABABU YALLA,Bahujan Samaj Party,Andhra Pradesh,Amalapuram (SC),,,,#N/A
cand4170,GUDE VENKATESWARULU,Independent,Andhra Pradesh,Amalapuram (SC),,,,#N/A
cand3980,MAKEY DAVY PRASAD,Independent,Andhra Pradesh,Amalapuram (SC),,,,#N/A
cand3184,VADDI LALITH KUMAR,Independent,Andhra Pradesh,Amalapuram (SC),,,,#N/A
cand2866,GOUTHAM JANGA,Indian National Congress,Andhra Pradesh,Amalapuram (SC),,,,#N/A
cand2749,YALANGI RAMESH,Jaibhim Rao Bharat Party,Andhra Pradesh,Amalapuram (SC),,,,#N/A
cand3939,RAMESH JILLELLA,Jatiya Jana Sena Party,Andhra Pradesh,Amalapuram (SC),,,,#N/A
cand4143,YADLA RAJESH,Liberation Congress Party,Andhra Pradesh,Amalapuram (SC),,,,#N/A
cand3027,PATHURI RAMESH,Peoples Party of India (Democratic),Andhra Pradesh,Amalapuram (SC),,,,#N/A
cand2792,MATHA KRISHNA,Pyramid Party of India,Andhra Pradesh,Amalapuram (SC),,,,#N/A
cand3841,GIDDI JNANA PRAKASA RAO,Republican Party of India,Andhra Pradesh,Amalapuram (SC),,,,#N/A
cand2877,KAPA KALYAN,Republican Party of India (A),Andhra Pradesh,Amalapuram (SC),,,,#N/A
cand2761,G M HARISH (BALAYOGI),Telugu Desam,Andhra Pradesh,Amalapuram (SC),,Popular,Photo Required,#N/A
cand3662,KATRU NAGA BABU,Telugu Nava Garjana Party,Andhra Pradesh,Amalapuram (SC),,,,#N/A
cand2805,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Amalapuram (SC),,,,#N/A
cand3940,PALAKA SREERAMA MURTHY,Bahujan Samaj Party,Andhra Pradesh,Anakapalle,,,,#N/A
cand3961,APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party,Andhra Pradesh,Anakapalle,,,,#N/A
cand2712,C.M.RAMESH,Bharatiya Janata Party,Andhra Pradesh,Anakapalle,,Popular,Photo Required,#N/A
cand3598,KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party,Andhra Pradesh,Anakapalle,,,,#N/A
cand3948,APPALANAIDU TUMMAGUNTA,Independent,Andhra Pradesh,Anakapalle,,,,#N/A
cand3845,DR. THUMMAPALA HARI  SHANKAR,Independent,Andhra Pradesh,Anakapalle,,,,#N/A
cand3649,GARA SURYA RAO,Independent,Andhra Pradesh,Anakapalle,,,,#N/A
cand2867,JUNNURI J SRINIVAS,Independent,Andhra Pradesh,Anakapalle,,,,#N/A
cand2916,JUNNURI J SRINIVAS,Independent,Andhra Pradesh,Anakapalle,,,,#N/A
cand4373,LOVARAJU SIDDHA,Independent,Andhra Pradesh,Anakapalle,,,,#N/A
cand2922,NAGESWARA RAO PETLA,Independent,Andhra Pradesh,Anakapalle,,,,#N/A
cand4399,VANKAYALA RAMACHANDRA RAO,Independent,Andhra Pradesh,Anakapalle,,,,#N/A
