candName,partyId,votes
"Dr. Ratnakar Pandu","BSP","1279"
"Marri Rajashekar Reddy","BRS","125049"
"Ramchander Rao N","BJP","55427"
"Mynampally Hanumanth Rao","INC","75519"
"Kattela Shiva Raju","DSP2","256"
"King William","AIFB","95"
"Kondapaka Kanakaiah","TRS","92"
"Chundi Shobhan Babu","TPJRP2","71"
"Jakkula Narsimulu","PRCP","58"
"Jajula Bhaskar","SJP","81"
"K. Padmaja","TDPP","199"
"Padmaja Gaddam","PEP2","75"
"Pampari Narsimha Narender","RDHP","78"
"Bobbili Ramesh","BSC2","79"
"Ramesh Loggari","PVP3","699"
"Rathod Dileep Kumar","NRCP","297"
"Runjala John Abraham","IPBP","179"
"Shaikh Chand Ahmed","AIHCP","361"
"Shaik Faiyaz Ahmed","DJHP","127"
"Sagaram Sreedhar","RPoI2","476"
"Aenugula Sai Kiran Reddy","IND","86"
"Ankani Mosha","IND","59"
"Pasunoori Sandeep Reddy","IND","57"
"Pitla Mohaan Raj","IND","141"
"Polasa Ravi Kumar","IND","75"
"Malotu Shankar","IND","50"
"Ravikoti Madan Mohan","IND","128"
"Rajashekar Reddy Veeraiahgari","IND","1161"
"Vigneshwer Reddy Peesari","IND","62"
"C.n. Sridhar","IND","71"
"R. Srinivas","IND","164"
"Satyam Made","IND","160"
"Saudagar Bhikam Praveen","IND","92"
