cand_id,cand_name,party_name,state,const_name
cand1,SUBHAGI,"Janhit Sankalp Party","Uttar Pradesh",Robertsganj
cand10,"VIRENDRA KUMAR SINGH",Independent,Bihar,Arrah
cand100,"PARWINDER SINGH",Independent,Punjab,Bathinda
cand1000,RAKESH,"Samata Party",Haryana,SONIPAT
cand1001,"SHAH ALAM","Apna Dal (Kamerawadi)","Uttar Pradesh",Jaunpur
cand1002,"ASHOK KATARIA","Samst Samaj Party",Haryana,KARNAL
cand1003,"SAKET MISRA","Bharatiya Janata Party","Uttar Pradesh",Shrawasti
cand1004,RAMDIYA,Independent,Haryana,KURUKSHETRA
cand1005,"ADVOCATE ADITYA DHANKHAR","Super Power India Party",Haryana,ROHTAK
cand1006,"SWAPNA RANI JAMES","Utkal Samaj",Odisha,Dhenkanal
cand1007,"SHIV PAL PATEL",Independent,"Uttar Pradesh",Pratapgarh
cand1008,"CHANDRASHEKHAR SINGH KUSHWAHA",Independent,"NCT OF Delhi","South Delhi"
cand1009,"AMAR NATH SINGH MAURYA","Samajwadi Party","Uttar Pradesh",Phulpur
cand101,"NAVEEN KUMAR SHARMA","Sanjhi Virasat Party",Punjab,"Khadoor Sahib"
cand1010,"DILIP SINGH",Independent,"NCT OF Delhi","New Delhi"
cand1011,"JAVED AHMAD SIDDIQUI",Independent,"Uttar Pradesh","Ambedkar Nagar"
cand1012,"SHANTIRAM MAHATO","All India Trinamool Congress","West Bengal",Purulia
cand1013,"LALJI VERMA","Samajwadi Party","Uttar Pradesh","Ambedkar Nagar"
cand1014,"MAHIMA PATEL","Apna Dal (Kamerawadi)","Uttar Pradesh",Phulpur
cand1015,"RAM SHIROMANI VERMA","Samajwadi Party","Uttar Pradesh",Shrawasti
cand1016,"SADHU CHARAN PAUL",Independent,Jharkhand,Jamshedpur
cand1017,"YOGESH BOORA",Independent,Haryana,HISAR
cand1018,"MUINUDDIN AHAMAD KHAN URF HAZI DADDAN KHAN","Bahujan Samaj Party","Uttar Pradesh",Shrawasti
cand1019,"KAMAL PRASAD","Bahujan Samaj Party",Jharkhand,Giridih
cand102,"AJIT MARANDI","Rashtriya Jansambhavna Party",Jharkhand,Rajmahal
cand1020,"AAKASH KUMAR SINGH","Indian National Congress",Bihar,Maharajganj
cand1021,"SATYVANT PRATAP SINGH",Independent,"Uttar Pradesh","Sant Kabir Nagar"
cand1022,"KAMLESH KUMAR JHA",Independent,"NCT OF Delhi","South Delhi"
cand1023,"ER VISHAL KUMAR",Independent,Haryana,KURUKSHETRA
cand1024,"SATYVANT PRATAP SINGH",Independent,"Uttar Pradesh","Sant Kabir Nagar"
cand1025,"RAMESH KHATAK","Jannayak Janta Party",Haryana,SIRSA
cand1026,HARISHANKAR,"Bahujan Samaj Party","Uttar Pradesh",Bhadohi
cand1027,"SANJEEV KUMAR","Public Political Party","NCT OF Delhi","NORTH EAST DELHI"
cand1028,"SAHI RAM","Aam Aadmi Party","NCT OF Delhi","South Delhi"
cand1029,"QAMAR HAYAT","Bahujan Samaj Party","Uttar Pradesh","Ambedkar Nagar"
cand103,"KAJAL NISHAD","Samajwadi Party","Uttar Pradesh",Gorakhpur
cand1030,"DINESH KUMAR",Independent,Haryana,HISAR
cand1031,"SARFARAZ AHMAD",Independent,"Uttar Pradesh",Jaunpur
cand1032,"NEELAM SINGH","Moolniwasi Samaj Party","Uttar Pradesh","Ambedkar Nagar"
cand1033,"MATHURA PRASAD MAHATO","Jharkhand Mukti Morcha",Jharkhand,Giridih
cand1034,"KRISHNA DEV","Rashtra Uday Party","Uttar Pradesh",Bhadohi
cand1035,"VIJAY SINGH","Sanatan Sanskriti Raksha Dal","Uttar Pradesh",Pratapgarh
cand1036,"USHA SINGH",Independent,Jharkhand,Giridih
cand1037,"A. GOPALA KRISHNA","Navarang Congress Party","NCT OF Delhi","East Delhi"
cand1038,"VIVEK KUMAR","Bhartiya Shakti Chetna Party","Uttar Pradesh","Ambedkar Nagar"
cand1039,"KRISHNA KUMAR MAURYA","Samyak Party","Uttar Pradesh",Shrawasti
cand104,SANDESH,"Bahujan Samaj Party","Uttar Pradesh",Deoria
cand1040,"KANHI LAL","Swatantra Jantaraj Party","NCT OF Delhi","NORTH EAST DELHI"
cand1041,BALINDAR,"Janta Kranti Party (Rashtravadi)","Uttar Pradesh",Lalganj
cand1042,"SORAB KHAN","Indian National Lok Dal",Haryana,GURGAON
cand1043,"PARVEEN KUMAR",Independent,Haryana,ROHTAK
cand1044,"UJJWAL RAMAN SINGH","Indian National Congress","Uttar Pradesh",Allahabad
cand1045,"VANDNA GULIYA","Right to Recall Party",Haryana,GURGAON
cand1046,"DILIP KUMAR MISHRA","Prabal Bharat Party",Bihar,Sheohar
