name,party_name,state,constituency
SUBHAGI,Janhit Sankalp Party,Uttar Pradesh,Robertsganj
HOSEN GAZI,Independent,West Bengal,Jadavpur
RAJA RAM SINGH,Independent,Bihar,Karakat
LAKHVIR SINGH,Independent,Chandigarh,Chandigarh
PREM SINGH CHANDUMAJRA,Shiromani Akali Dal,Punjab,Anandpur Sahib
PRATAP CHANDRA MOHANTY,Independent,Odisha,Kendrapara
AVADHESH PASWAN,Bharatiya Aam Awam Party,Bihar,Karakat
KALIMUDDIN SK,Indian National Socialistic Action Forces,West Bengal,Diamond harbour
MARIYAM MARANDI,Bahujan Samaj Party,Jharkhand,Rajmahal
VIRENDRA KUMAR SINGH,Independent,Bihar,Arrah
BALDEV SINGH,Independent,Punjab,Ludhiana
KULDEEP SINGH,India Praja Bandhu Party,Punjab,Firozpur
RAMESH CHAND,Samajwadi Party,Uttar Pradesh,Mirzapur
SANJEEV SINGH,Independent,Punjab,Gurdaspur
ARVIND KHANNA,Bharatiya Janata Party,Punjab,Sangrur
SONU SINGH,Independent,Punjab,Hoshiarpur
BIKRAMJIT SINGH,Shiromani Akali Dal,Punjab,Fatehgarh Sahib
SANJEEV SINGH,Independent,Punjab,Gurdaspur
ARJUNA CHARAN BEHERA,Independent,Odisha,Jagatsinghpur
SHIVPUJAN,Rashtriya Samaj Paksha,Uttar Pradesh,Robertsganj
PULAKESH MONDAL,Independent,West Bengal,Diamond harbour
SANJEEV SINGH,Independent,Punjab,Gurdaspur
MISBAHUS SALAM,Independent,West Bengal,Kolkata Uttar
SANJEEV SINGH,Independent,Punjab,Gurdaspur
GEJJA RAM,Bharatiya Janata Party,Punjab,Fatehgarh Sahib
ASHOK TIWARI,Independent,Bihar,Arrah
RAJESH,Independent,Uttar Pradesh,Mirzapur
GURU  CHARAN HEMBRAM,Bharatheeya Jawan Kisan Party,Odisha,Mayurbhanj
MANPREET SHANT,Independent,Punjab,Faridkot
BIPUL CHANDRA BISWAS,Mulnibasi Party of India,West Bengal,Basirhat
MD FAROOQUE RAZA,All India Majlis-E-Ittehadul Muslimeen,Bihar,Patliputra
BIBHU PRASAD TARAI,Bharatiya Janata Party,Odisha,Jagatsinghpur
LIPI KUMARI,Independent,Bihar,Jahanabad
PARAMJIT SINGH,Independent,Punjab,Khadoor Sahib
MANDAR SINGH,Independent,Punjab,Anandpur Sahib
SANKAR DAS,Independent,Odisha,Jagatsinghpur
CHANNVEER SINGH,Independent,Punjab,Sangrur
NIRMALJIT KAUR,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Gurdaspur
GURMEET SINGH,Aam Aadmi Party,Punjab,Bathinda
DHANJAY KUMAR,Rashtriya Jansambhavna Party,Bihar,Patna Sahib
BALJIT SINGH,Independent,Punjab,Ludhiana
PAUL SOREN,All India Majlis-E-Ittehadul Muslimeen,Jharkhand,Rajmahal
JASWANT RAI RAJORA,Independent,Punjab,Faridkot
KAMAL PAWAR,Independent,Punjab,Ludhiana
CHANDRIKA PRASAD,Independent,Uttar Pradesh,Robertsganj
SURENDRA KUMAR KABRA,Independent,West Bengal,Kolkata Uttar
KISLAY KUMAR,Independent,Bihar,Nalanda
SRIRAM PANDEY,Independent,Odisha,Kendrapara
DAVINDER KUMAR,Samaj Bhalai Morcha,Punjab,Hoshiarpur
PRAGYESH KUMAR,Independent,Uttar Pradesh,Ghosi
PARMINDER SINGH,Independent,Punjab,Khadoor Sahib
SUKANTA HEMBRAM,Bharatiya Nyay-Adhikar Raksha Party,Odisha,Mayurbhanj
SADAL PRASAD,Indian National Congress,Uttar Pradesh,Bansgaon
RAJ KUMAR CHAUHAN,Independent,Punjab,Faridkot
DAUD MARANDI,All India Majlis-E-Ittehadul Muslimeen,Jharkhand,Rajmahal
SARABJIT SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Jalandhar
PIYARUL ISLAM,Independent,West Bengal,Basirhat
DR SUBHASH SHARMA,Bharatiya Janata Party,Punjab,Anandpur Sahib
