name,const_id,state,eci_id
Andaman and Nicobar Islands,3501,Andaman and Nicobar Islands,U011
Amalapuram,2824,Andhra Pradesh,S017
Anakapalli,2822,Andhra Pradesh,S015
Anantapur,2836,Andhra Pradesh,S0119
Araku,2818,Andhra Pradesh,S011
Bapatla,2832,Andhra Pradesh,S0115
Chittoor,2842,Andhra Pradesh,S0125
Eluru,2827,Andhra Pradesh,S0110
Guntur,2830,Andhra Pradesh,S0113
Hindupur,2837,Andhra Pradesh,S0120
Kadapa,2838,Andhra Pradesh,S0121
Kakinada,2823,Andhra Pradesh,S016
Kurnool,2835,Andhra Pradesh,S0118
Machilipatnam,2828,Andhra Pradesh,S0111
Nandyal,2834,Andhra Pradesh,S0117
Narasaraopet,2831,Andhra Pradesh,S019
Narsapuram,2826,Andhra Pradesh,S0114
Nellore,2839,Andhra Pradesh,S0122
Ongole,2833,Andhra Pradesh,S0116
Rajahmundry,2825,Andhra Pradesh,S018
Rajampet,2841,Andhra Pradesh,S0124
Srikakulam,2819,Andhra Pradesh,S012
Tirupati,2840,Andhra Pradesh,S0123
Vijayawada,2829,Andhra Pradesh,S0112
Visakhapatnam,2821,Andhra Pradesh,S014
Vizianagaram,2820,Andhra Pradesh,S013
ARUNACHAL EAST,1202,Arunachal Pradesh,S022
ARUNACHAL WEST,1201,Arunachal Pradesh,S021
Barpeta,1806,Assam,S033
Darrang - Udalguri,1808,Assam,S034
Dhubri,1804,Assam,S032
Dibrugarh,1813,Assam,S0313
Diphu,1803,Assam,S036
Guwahati,1807,Assam,S035
Jorhat,1812,Assam,S0314
Karimganj,1801,Assam,S037
Kaziranga,1811,Assam,S0310
Kokrajhar,1805,Assam,S031
Lakhimpur,1814,Assam,S0312
Nowgong,1810,Assam,S039
Silchar,1802,Assam,S038
Sonitpur,1809,Assam,S0311
Araria,1009,Bihar,S049
Arrah,1032,Bihar,S0432
Aurangabad,1037,Bihar,S0437
Banka,1027,Bihar,S0427
Begusarai,1024,Bihar,S0424
Bhagalpur,1026,Bihar,S0426
Buxar,1033,Bihar,S0433
Darbhanga,1014,Bihar,S0414
Gaya,1038,Bihar,S0438
Gopalganj,1017,Bihar,S0417
Hajipur,1021,Bihar,S0421
Jahanabad,1036,Bihar,S0436
Jamui,1040,Bihar,S0440
Jhanjharpur,1007,Bihar,S047
Karakat,1035,Bihar,S0435
Katihar,1011,Bihar,S0411
Khagaria,1025,Bihar,S0425
Kishanganj,1010,Bihar,S0410
Madhepura,1013,Bihar,S0413
Madhubani,1006,Bihar,S046
Maharajganj,1019,Bihar,S0419
Munger,1028,Bihar,S0428
Muzaffarpur,1015,Bihar,S0415
Nalanda,1029,Bihar,S0429
Nawada,1039,Bihar,S0439
Paschim Champaran,1002,Bihar,S042
Pataliputra,1031,Bihar,S0431
Patna Sahib,1030,Bihar,S0430
Purnia,1012,Bihar,S0412
Purvi Champaran,1003,Bihar,S043
Samastipur,1023,Bihar,S0423
Saran,1020,Bihar,S0420
Sasaram,1034,Bihar,S0434
Sheohar,1004,Bihar,S044
Sitamarhi,1005,Bihar,S045
Siwan,1018,Bihar,S0418
Supaul,1008,Bihar,S048
Ujiarpur,1022,Bihar,S0422
Vaishali,1016,Bihar,S0416
Valmiki Nagar,1001,Bihar,S041
CHANDIGARH,401,Chandigarh,U021
BASTAR,2210,Chhattisgarh,S2610
BILASPUR,2205,Chhattisgarh,S265
DURG,2207,Chhattisgarh,S267
JANJGIR-CHAMPA,2203,Chhattisgarh,S263
KANKER,2211,Chhattisgarh,S2611
KORBA,2204,Chhattisgarh,S264
MAHASAMUND,2209,Chhattisgarh,S269
RAIGARH,2202,Chhattisgarh,S262
RAIPUR,2208,Chhattisgarh,S268
RAJNANDGAON,2206,Chhattisgarh,S266
SURGUJA,2201,Chhattisgarh,S261
Dadra And Nagar Haveli,2601,Dadra and Nagar Haveli,U032
Daman and diu,2501,Dadra and Nagar Haveli,U031
North Goa,3001,Goa,S051
South Goa,3002,Goa,S052
Ahmedabad East,2407,Gujarat,S067
Ahmedabad West,2408,Gujarat,S068
Amreli,2414,Gujarat,S0614
Anand,2416,Gujarat,S0616
Banaskantha,2402,Gujarat,S062
Bardoli,2423,Gujarat,S0623
Bharuch,2422,Gujarat,S0622
Bhavnagar,2415,Gujarat,S0615
Chhota Udaipur,2421,Gujarat,S0621
Dahod,2419,Gujarat,S0619
Gandhinagar,2406,Gujarat,S066
Jamnagar,2412,Gujarat,S0612
Junagadh,2413,Gujarat,S0613
Kachchh,2401,Gujarat,S061
Kheda,2417,Gujarat,S0617
Mahesana,2404,Gujarat,S064
Navsari,2425,Gujarat,S0625
Panchmahal,2418,Gujarat,S0618
Patan,2403,Gujarat,S063
Porbandar,2411,Gujarat,S0611
Rajkot,2410,Gujarat,S0610
Sabarkantha,2405,Gujarat,S065
Surat,2424,Gujarat,S0624
Surendranagar,2409,Gujarat,S069
Vadodara,2420,Gujarat,S0620
Valsad,2426,Gujarat,S0626
Ambala,601,Haryana,S071
Bhiwani-Mahendragarh,608,Haryana,S078
Faridabad,610,Haryana,S0710
Gurgaon,609,Haryana,S079
Hisar,604,Haryana,S074
Karnal,605,Haryana,S075
Kurukshetra,602,Haryana,S072
Rohtak,607,Haryana,S077
Sirsa,603,Haryana,S073
Sonipat,606,Haryana,S076
Hamirpur,203,Himachal Pradesh,S083
Kangra,201,Himachal Pradesh,S081
Mandi,202,Himachal Pradesh,S082
Shimla,204,Himachal Pradesh,S084
Anantnag,103,Jammu and Kashmir,U083
Baramulla,101,Jammu and Kashmir,U081
Jammu,106,Jammu and Kashmir,U085
Srinagar,102,Jammu and Kashmir,U082
Udhampur,105,Jammu and Kashmir,U084
Chatra,2004,Jharkhand,S274
Dhanbad,2007,Jharkhand,S277
Dumka,2002,Jharkhand,S272
Giridih,2006,Jharkhand,S276
Godda,2003,Jharkhand,S273
Hazaribagh,2014,Jharkhand,S2714
Jamshedpur,2009,Jharkhand,S279
Khunti,2011,Jharkhand,S2711
Kodarma,2005,Jharkhand,S275
