party_id,cand_id,name,party_name
IND,cand6356,C MONICHEN,Independent
BSP,cand6444,SANTHOSH PALATHUMPADAN,Bahujan Samaj Party
INC,cand6458,KODIKUNNIL SURESH,Indian National Congress
BDJS,cand6524,BAIJU KALASALA,Bharath Dharma Jana Sena
IND,cand6640,KOZHUVASSERIL SURESH,Independent
SUCI,cand6970,K BIMALJI,Socialist Unity Centre Of India (COMMUNIST)
CPI,cand6992,ADV ARUN KUMAR C A,Communist Party of India
IND,cand7123,MANTHARA VELAYUDHAN,Independent
APOI,cand7136,SURESH NOORANAD,Ambedkarite Party of India
NOTA,cand9173,None of the Above,NOTA
