Candidate,Party,Status,State,Constituency
SUBHAGI, Janhit Sankalp Party, Accepted, Uttar Pradesh, Robertsganj
HOSEN GAZI, Independent, Accepted, West Bengal, Jadavpur
RAJA RAM SINGH, Independent, Accepted, Bihar, Karakat
LAKHVIR SINGH, Independent, Accepted, Chandigarh, Chandigarh
PREM SINGH CHANDUMAJRA, Shiromani Akali Dal, Accepted, Punjab, Anandpur Sahib
PRATAP CHANDRA MOHANTY, Independent, Accepted, Odisha, Kendrapara
AVADHESH PASWAN, Bharatiya Aam Awam Party, Accepted, Bihar, Karakat
KALIMUDDIN SK, Indian National Socialistic Action Forces, Accepted, West Bengal, Diamond harbour
MARIYAM MARANDI, Bahujan Samaj Party, Accepted, Jharkhand, Rajmahal
VIRENDRA KUMAR SINGH, Independent, Accepted, Bihar, Arrah
MARIYAM MARANDI, Bahujan Samaj Party, Accepted, Jharkhand, Rajmahal
BALDEV SINGH, Independent, Accepted, Punjab, Ludhiana
KULDEEP SINGH, India Praja Bandhu Party, Accepted, Punjab, Firozpur
RAMESH CHAND, Samajwadi Party, Accepted, Uttar Pradesh, Mirzapur
SANJEEV SINGH, Independent, Accepted, Punjab, Gurdaspur
ARVIND KHANNA, Bharatiya Janata Party, Accepted, Punjab, Sangrur
SONU SINGH, Independent, Accepted, Punjab, Hoshiarpur
BIKRAMJIT SINGH, Shiromani Akali Dal, Accepted, Punjab, Fatehgarh Sahib
RAMESH CHAND, Samajwadi Party, Accepted, Uttar Pradesh, Mirzapur
SANJEEV SINGH, Independent, Accepted, Punjab, Gurdaspur
ARJUNA CHARAN BEHERA, Independent, Accepted, Odisha, Jagatsinghpur
SHIVPUJAN, Rashtriya Samaj Paksha, Accepted, Uttar Pradesh, Robertsganj
PULAKESH MONDAL, Independent, Accepted, West Bengal, Diamond harbour
KULDEEP SINGH, India Praja Bandhu Party, Accepted, Punjab, Firozpur
SANJEEV SINGH, Independent, Accepted, Punjab, Gurdaspur
MISBAHUS SALAM, Independent, Accepted, West Bengal, Kolkata Uttar
SANJEEV SINGH, Independent, Accepted, Punjab, Gurdaspur
GEJJA RAM, Bharatiya Janata Party, Accepted, Punjab, Fatehgarh Sahib
ASHOK TIWARI, Independent, Accepted, Bihar, Arrah
RAJESH, Independent, Accepted, Uttar Pradesh, Mirzapur
GURU  CHARAN HEMBRAM, Bharatheeya Jawan Kisan Party, Accepted, Odisha, Mayurbhanj
MANPREET SHANT, Independent, Accepted, Punjab, Faridkot
BIPUL CHANDRA BISWAS, Mulnibasi Party of India, Accepted, West Bengal, Basirhat
MD FAROOQUE RAZA, All India Majlis-E-Ittehadul Muslimeen, Accepted, Bihar, Patliputra
BIBHU PRASAD TARAI, Bharatiya Janata Party, Accepted, Odisha, Jagatsinghpur
LIPI KUMARI, Independent, Accepted, Bihar, Jahanabad
PARAMJIT SINGH, Independent, Accepted, Punjab, Khadoor Sahib
MD FAROOQUE RAZA, All India Majlis-E-Ittehadul Muslimeen, Accepted, Bihar, Patliputra
MANDAR SINGH, Independent, Accepted, Punjab, Anandpur Sahib
SANKAR DAS, Independent, Accepted, Odisha, Jagatsinghpur
CHANNVEER SINGH, Independent, Accepted, Punjab, Sangrur
NIRMALJIT KAUR, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Gurdaspur
GURMEET SINGH, Aam Aadmi Party, Accepted, Punjab, Bathinda
DHANJAY KUMAR, Rashtriya Jansambhavna Party, Accepted, Bihar, Patna Sahib
BALJIT SINGH, Independent, Accepted, Punjab, Ludhiana
PAUL SOREN, All India Majlis-E-Ittehadul Muslimeen, Accepted, Jharkhand, Rajmahal
JASWANT RAI RAJORA, Independent, Accepted, Punjab, Faridkot
PAUL SOREN, All India Majlis-E-Ittehadul Muslimeen, Accepted, Jharkhand, Rajmahal
KAMAL PAWAR, Independent, Accepted, Punjab, Ludhiana
CHANDRIKA PRASAD, Independent, Accepted, Uttar Pradesh, Robertsganj
GURMEET SINGH, Aam Aadmi Party, Accepted, Punjab, Bathinda
SURENDRA KUMAR KABRA, Independent, Accepted, West Bengal, Kolkata Uttar
KISLAY KUMAR, Independent, Accepted, Bihar, Nalanda
SRIRAM PANDEY, Independent, Accepted, Odisha, Kendrapara
NIRMALJIT KAUR, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Gurdaspur
DAVINDER KUMAR, Samaj Bhalai Morcha, Accepted, Punjab, Hoshiarpur
PRAGYESH KUMAR, Independent, Accepted, Uttar Pradesh, Ghosi
PARMINDER SINGH, Independent, Accepted, Punjab, Khadoor Sahib
SUKANTA HEMBRAM, Bharatiya Nyay-Adhikar Raksha Party, Accepted, Odisha, Mayurbhanj
SADAL PRASAD, Indian National Congress, Accepted, Uttar Pradesh, Bansgaon
RAJ KUMAR CHAUHAN, Independent, Accepted, Punjab, Faridkot
DAUD MARANDI, All India Majlis-E-Ittehadul Muslimeen, Accepted, Jharkhand, Rajmahal
SARABJIT SINGH, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Jalandhar
PIYARUL ISLAM, Independent, Accepted, West Bengal, Basirhat
DR SUBHASH SHARMA, Bharatiya Janata Party, Accepted, Punjab, Anandpur Sahib
DAUD MARANDI, All India Majlis-E-Ittehadul Muslimeen, Accepted, Jharkhand, Rajmahal
SONU NIGAM, Bahujan Mukti Party, Accepted, Uttar Pradesh, Robertsganj
MRITUNJAY KUMAR, Bhagidari Party(P), Accepted, Bihar, Patliputra
RAJPAL, Bahujan Mukti Party, Accepted, Punjab, Hoshiarpur
DR DHARMVIR KUMAR BHASKAR, Independent, Accepted, Bihar, Patna Sahib
ANIL KUMAR, Eklavya Samaj Party, Accepted, Uttar Pradesh, Mirzapur
