andaman and nicobar islands,u01,,u01
andhra pradesh,s01,,
assam,s03,,
arunachal pradesh,s02,,
bihar,s04,,
chandigarh,u02,,
chhattisgarh,s26,,
Dadra and Nagar haveli,u03,,
Goa,s05,,
Gujarat,s06,,
haryana,s07,,
himachal pradesh,s08,,
jammu and kashmir,u08,,
jharkhand,s27,,
karnataka,s10,,
kerala,s11,,
ladakh,u09,,
lakshadweep,u06,,
Madhya Pradesh,s12,,
Maharastra,s13,,
manipur,s14,,
megalaya,s15,,
mizoram,s16,,
nagaland,s17,,
delhi,u05,,
odisha,s18,,
puducherry,u07,,
punjab,s19,,
rajasthan,s20,,
sikkim,s21,,
tamil nadu,s22,,
telangana,s29,,
tripura,s23,,
uttar pradesh,s24,,
uttarakhand,s28,,
west bengal,s25,,
